sentiment	productId	userId	summary	text	helpfulY	helpfulN
		A81RNLAPAAEBE	Great quick cup of coffee	I drink Starbucks drip coffee. The instant tastes just as good, and is great when you don't want to make a whole pot. Friends could not believe they were drinking instant coffee.	0	0
		A3QTYFG670Y67T	Swedish fish...my sweet addiction.	I am not a big candy eater. In fact, I try to avoid sweets for the most part. But, Swedish Fish are my addiction. This package of 3 really doesn't last long in my house. They are red, sweet and chewy.	2	0
		A3NL2F3TA3NAEV	Did I get the same coffee?	Maybe I received the expired batch from five years ago, but this stuff is tasteless. It takes two K-cups to make a normal strength cup of decaf. I wonder if Emeril samples the products that bear his name? I will avoid his picture from now on! Timothy's decaf is just great- I'll stick with that I guess.	0	1
		A26X2GWXKOC1UY	Now Bad, Was Once Good	This used to be really good tea. For two years we drank it and really liked it.<br /><br />The last two batches have had some kind of sludge that comes off it, so much so that it cloggs the filter on the coffee maker I use to brew it. (The same one I've used for years.)<br /><br />It would be good if we had a way to contact the manufacturer so we could alert them that their good product just went bad, from one month to the next.<br /><br />Hope this helps.<br /><br />Frustrated Green Tea Guy	5	0
		ATPJXNNT5HXYP	best home taco mix	By far the best home taco kit you can get. I  tried all the other ones you can find in local stores and not only is this one better I don't like the other ones.  It is a combination of the mix & shells having a strange taste to them.  Most local grocery stores don't seem to be carrying this anymore so I have them delivered every 3-6 months automatically depending on how often we go through them.  Taco night is one of my 3 year old son's favorite nights as he gets to make his own taco!	1	0
		A2LCL68JZ5W8LU	Slim Six Rocks!	I picked up a box of each Slimstix cocktail mixes:  Margarita, Mojito, Cosmo.  They all are great, but my favorite is Mojito. I was amazed and the ease of use. If you just muddle a little fresh mint and lime to this, No more having to worry about Simple Syrups etc and the its perfect, you would never know its sugarfree. As a Long time Mojito drinker the<br />drink mix is spot on and with the fresh fruit the only thing you are missing is the calories.<br /><br />They all have their own distinct style, Margarita is sweet/sour, Mojito light mint / lime, and Cosmo more sweet / fruit taste.  There are some great recipes on the website that you can create just by muddling in lime and other low cal ingredients.  Portability factor is great too.<br /><br />CL	4	0
		A15T084PULS6HY	REALLY GOOD!! Tase amazingly good for peanut butter cookies!	excellent product and cheaper to buy here as opposed to the stores. so far my fav cookies to eat because they aren't as unhealthly as some of the other products. ... subscribe to get the discount	1	0
		A11ZJ3X8ZJTALM	Disappointing	I bought it as a substitute for powder Stevia hoping for better after-taste.<br />I am disappointed. The dropper design is faulty and I can't get drops in the coffee with out getting some on my fingers - an avoidable waste.<br />I also found that one needs to use more than a few drops to get the sweet taste.<br />The powder form is more economical if somebody makes half-packets of powder?	0	0
		A1AY4QM3FDINBQ	Good!	I ordered these after a friend brought some stroopwafels back from Holland. While these are pretty good, they didn't seem as fresh as the ones my friend brought back from Holland.	0	0
		A2OTO7TH9F433R	Could stay a little fresher since vaccummed sealed	Even though these are in sealed, individual packages, which is nice, it seems like they don't retain there freshness.  A few of the sticks got like shoe leather and had little taste.  I would not purchase them again.  I think they should have more flavor since they are vaccummed sealed for freshness.  Also the sticks get very hard.	1	1
		A1SU0YX7XIPZB0	Loved it	This was a great gift for myself, I told my mom about it and she wants a 1960's one, she loved the idea of having her favorite candy again.	7	4
		A2YOGNVPB3GJQJ	Give it two days, just as good!	"I've been drinking Carnation Instant Breakfast (the original) for most of my life.  It took me about two days to get ""used to"" drinking the no sugar added version, and now I actually prefer it.  It saves me some calories and isn't quite as heavy in the mornings."	0	0
		A10NIIWUHCDI0Q	Excellent Lebanese coffee!	I and my wife are frequent at Lebnan Zaman, our local Lebanese restaurant, and we always get coffee with cardamon. Now we can make it at home any time we want.	1	0
