sentiment	productId	userId	summary	text	helpfulY	helpfulN
-1	B000EQYQBO	A2JZVE0Y19VLL0	blue chips	The chips are okay Not near as flavorful as the regular blue chips. Nice size bag for a family.	0	0
-1	B000LKVHYC	A3NAKOMAS0I5L9	Bad even for 'healthy'	I had high hopes for this, but it was bad.  Really bad.  The whole pan of cupcakes made from this had to be thrown out.  Very gritty and dense.	0	0
-1	B003QRQRY2	ARBO3XW14MNGA	Alot of money for one can	I guess it's only one can since there is nothing in the description about how many cans you get. I guess we can't all be intelligent.	1	1
-1	B008EG58V8	A1IQXGT4MJUYJ8	"The Box says ""OATMEAL SQUARES"" which I believe is FALSE advertising."	"""Oatmeal Squares"" is in about the largest print you can fit on the Front of the Box.  When you read the ingredients, the second largest ingredient is WHEAT flour. So how can it rightfully be called a ""Crunchy Oat Cereal"".<br /><br />I wonder why Quaker, which is noted for Oatmeal has to be somewhat deceptive and not disclose upfront that this is not completely an Oat Cereal and then go on to make claims about Cholesterol Lowering when it is not ALL Oat Flour.<br /><br />Oatmeal is made from oats not wheat.  This is really ""Oatmeal and Wheat Squares""<br /><br />Who cares how it tastes if it is not what it says it is."	0	0
1	B004WZZY8M	A2TBL6WAZGXB9P	Delicious!	I really enjoyed this flavor, this has a very nice subtle coconut flavor that is not too sweet.  It's a hit in our household, I give them to my grand kids every time they come over and needless to say they keep coming back!	1	0
-1	B004H3N2LU	A2PPC60THVKFBF	Awful	Awful!  not coffee this is instant coffee and bad instant coffee at that.  Do not be tempted by the price-not worth a penny.	0	0
-1	B002QTXS5C	A2X8URSBQ7D4IJ	Not The Best Cookies I've Ever Had!	I was sorely disappointed in these cookies.. They are pretty tasteless and damn hard too.. I wouldn't buy them again and I've certainly tasted much better low-cal cookies.. I definitely recommend saving your money, folks..	0	0
1	B00141UC9I	A2UVATCLGYKFV3	GREAT results with continued use at the prescribed dosage!	My 10 year-old black pug has problems with her back left hip and knee. Sometimes, the leg goes out on her and she ends up on her butt, unable to get moving again. I started feeding these Happy Hips treats to her a few months ago, but did not realize that I was not feeding as many as prescribed which is 1 jerky treat for each 7.5 pounds of body weight. She did show some relief at the lower level. However, after realizing my error and increasing the dosage to the recommended level, she now shows FANTASTIC results. After 3 weeks, she chases her squirrels, she and her cat brother play chase, and she hops right over puddles. She has not had her back leg go out on her this entire past month. She's a real dog again! Just know that you must be patient - it took 3 weeks of daily use at the recommended level to see the full results. This product has worked so well, I now have it on auto-order.	0	0
1	B0039QW2EE	A1GXS7Z4U2ONW4	Good Find!	I've been looking for dried bell peppers ever since I ran out of a small bag that I bought in Amish country.  This stuff is great in chili and soups, keeps for months, and doesn't require chopping!	5	0
1	B002GJ9JWS	A3V1A3C9DTLPME	Pretty tasty and very handy for the health conscious	Dont go into this thinking after you mix up your peanut butter that it will taste like what you are familiar with. It wont. This isnt laden with the sugars and oils that give most store brand peanut butters the flavor people are familiar with. In fact, most of the oil from the peanut is pressed out of this as well. This is just straight up peanut butter without any frills (well, it is after you mix water into it anyway). Personally, I like it, and besides, there is plenty sugar in jelly anyway if you are gonna eat a PB&J using this, which I do from time to time. For me, it's primary use is in smoothies though. This powder is perfect for that. It blends thoroughly and you dont get all that aforementioned sugar and oil (and usually transfats) that comes with using most normal peanut butters, which basically means you arent adding junk to your diet. I would recommend however that if you planning to use this exclusively for sandwiches and are concerned about the lack of sweetness, that you try a brand like Justin's instead. For me though, this is pretty much perfect.<br /><br />Enjoy!	0	0
1	B000GG1O8A	A2YQ2ZI65F37N8	light flavor	If you are looking for a lightly flavored green tea with mint, then this is the product.  It is great for the days I want a mild flavored tea.	0	0
-1	B001T9J552	A2CPKC5LIUAMGE	Too expensive	I find this to be a good product...good spicy flavor and a quick start to an easy meal.  I have since seen this same product, same quantity at my local Costco for a significant amount less. ($10.00 for a case of 12)  I thought that Amazon was supposed to be a good deal????	0	0
-1	B0029NVJX8	AJLEWBV6DH1E6	Made my cat sick	My cat had a very bad reaction to these treats. He loved them, but they were like an extreme laxative. It took me a while to track down his problem. Maybe it was the chlorophyll, I don't know, but if your cat has a sensitive stomach, I'd be careful with these particular treats.	3	1
